State,id,EC,D Avg.,R Avg.,MOE,Margin LE D,Margin LE R,FRating D,FRating R,Past 5
Alabama,AL,9,32,48,20,-22.19,22.19,42,38,"R, R, R, R, R"
Alaska,AK,3,47,43,10,-13.99,13.99,42,38,"R, R, R, R, R"
Arizona,AZ,11,45,47,8,-9.06,9.06,42,38,"D, R, R, R, R"
Arkansas,AR,6,36,59,5,-23.69,23.69,42,38,"D, R, R, R, R"
California,CA,55,58,35,7,23.12,-23.12,42,38,"D, D, D, D, D"
Colorado,CO,9,48,43,9,5.37,-5.37,42,38,"R, R, R, D, D"
Connecticut,CT,7,50,35,15,17.33,-17.33,42,38,"D, D, D, D, D"
District of Columbia,DC,3,90,10,19,86.41,-86.41,42,38,"D, D, D, D, D"
Delaware,DE,3,51,30,19,18.63,-18.63,42,38,"D, D, D, D, D"
Florida,FL,29,46,50,4,0.88,-0.88,42,38,"D, R, R, D, D"
Georgia,GA,16,45,52,3,-7.82,7.82,42,38,"R, R, R, R, R"
Hawaii,HI,4,58,28,14,42.71,-42.71,42,38,"D, D, D, D, D"
Idaho,ID,4,29,48,23,-31.91,31.91,42,38,"R, R, R, R, R"
Illinois,IL,20,53,41,6,16.87,-16.87,42,38,"D, D, D, D, D"
Indiana,IN,11,37,48,15,-10.2,10.2,42,38,"R, R, R, D, R"
Iowa,IA,6,39,46,15,5.81,-5.81,42,38,"D, D, R, D, D"
Kansas,KS,6,34,58,8,-21.72,21.72,42,38,"R, R, R, R, R"
Kentucky,KY,8,37,54,9,-22.69,22.69,42,38,"D, R, R, R, R"
Louisiana,LA,8,35,50,15,-17.21,17.21,42,38,"D, R, R, R, R"
Maine,ME,2,46,42,12,15.29,-15.29,42,38,"D, D, D, D, D"
Maine 1st District,ME_1,1,55,42,12,15.29,-15.29,42,38,"D, D, D, D, D"
Maine 2nd District,ME_2,1,46,42,12,15.29,-15.29,42,38,"D, D, D, D, D"
Maryland,MD,10,63,27,10,26.08,-26.08,42,38,"D, D, D, D, D"
Massachusetts,MA,11,56,26,18,23.14,-23.14,42,38,"D, D, D, D, D"
Michigan,MI,16,47,49,4,9.5,-9.5,42,38,"D, D, D, D, D"
Minnesota,MN,10,49,39,12,7.69,-7.69,42,38,"D, D, D, D, D"
Mississippi,MS,6,26,74,0,-11.5,11.5,42,38,"R, R, R, R, R"
Missouri,MO,10,41,47,12,-9.38,9.38,42,38,"D, R, R, R, R"
Montana,MT,3,36,46,18,-13.65,13.65,42,38,"R, R, R, R, R"
Nebraska,NE,2,29,56,15,-21.78,21.78,42,38,"R, R, R, R, R"
Nebraska 1st District,NE_1,1,29,56,15,-21.78,21.78,42,38,"R, R, R, R, R"
Nebraska 2nd District,NE_2,1,44,47,15,-21.78,21.78,42,38,"R, R, R, R, R"
Nebraska 3rd District,NE_3,1,29,56,15,-21.78,21.78,42,38,"R, R, R, R, R"
Nevada,NV,6,46,46,8,6.68,-6.68,42,38,"D, R, R, D, D"
New Hampshire,NH,4,49,38,13,5.58,-5.58,42,38,"D, R, D, D, D"
New Jersey,NJ,14,51,40,9,17.81,-17.81,42,38,"D, D, D, D, D"
New Mexico,NM,5,46,44,10,10.15,-10.15,42,38,"D, D, R, D, D"
New York,NY,29,51,34,15,28.18,-28.18,42,38,"D, D, D, D, D"
North Carolina,NC,15,44,44,12,-2.04,2.04,42,38,"R, R, R, D, R"
North Dakota,ND,3,32,43,25,-19.63,19.63,42,38,"R, R, R, R, R"
Ohio,OH,18,39,46,15,2.98,-2.98,42,38,"D, R, R, D, D"
Oklahoma,OK,7,30,60,10,-33.54,33.54,42,38,"R, R, R, R, R"
Oregon,OR,7,41,34,25,12.09,-12.09,42,38,"D, D, D, D, D"
Pennsylvania,PA,20,46,40,14,5.39,-5.39,42,38,"D, D, D, D, D"
Rhode Island,RI,4,52,32,16,27.46,-27.46,42,38,"D, D, D, D, D"
South Carolina,SC,9,36,47,17,-10.47,10.47,42,38,"R, R, R, R, R"
South Dakota,SD,3,35,49,16,-18.02,18.02,42,38,"R, R, R, R, R"
Tennessee,TN,11,34,44,22,-20.4,20.4,42,38,"D, R, R, R, R"
Texas,TX,38,35,49,16,-15.78,15.78,42,38,"R, R, R, R, R"
Utah,UT,6,30,40,30,-48.04,48.04,42,38,"R, R, R, R, R"
Vermont,VT,3,52,26,22,35.6,-35.6,42,38,"D, D, D, D, D"
Virginia,VA,13,48,42,10,3.87,-3.87,42,38,"R, R, R, D, D"
Washington,WA,12,55,39,6,14.87,-14.87,42,38,"D, D, D, D, D"
West Virginia,WV,5,28,60,12,-26.76,26.76,42,38,"D, R, R, R, R"
Wisconsin,WI,10,49,41,10,6.94,-6.94,42,38,"D, D, D, D, D"
Wyoming,WY,3,20,58,22,-40.82,40.82,42,38,"R, R, R, R, R"
