id,name,ec,party,democrat,republican,third,margin,winner
AL,Alabama,9,6,39.25%,57.91%,2.84%,Trump +18.66%,R
AK,Alaska,3,5,44.03%,53.04%,2.93%,Trump +9.01%,R
AZ,Arizona,11,3,49.69%,47.08%,3.23%,Biden +2.61%,D
AR,Arkansas,6,4,46.36%,50.63%,3.01%,Trump +4.27%,R
CA,California,55,1,65.09%,31.91%,3.0%,Biden +33.18%,D
CO,Colorado,9,1,56.76%,39.9%,3.34%,Biden +16.86%,D
CT,Connecticut,7,1,61.97%,35.14%,2.89%,Biden +26.83%,D
DC,District of Columbia,3,1,93.31%,3.61%,3.08%,Biden +89.7%,D
DE,Delaware,3,1,59.46%,37.88%,2.66%,Biden +21.58%,D
FL,Florida,29,2,51.49%,45.29%,3.22%,Biden +6.2%,D
GA,Georgia,16,4,47.3%,49.93%,2.77%,Trump +2.63%,R
HI,Hawaii,4,1,69.3%,27.72%,2.98%,Biden +41.58%,D
ID,Idaho,4,6,29.16%,67.47%,3.37%,Trump +38.31%,R
IL,Illinois,20,1,59.41%,37.5%,3.09%,Biden +21.91%,D
IN,Indiana,11,6,42.57%,53.99%,3.44%,Trump +11.42%,R
IA,Iowa,6,4,48.16%,48.83%,3.01%,Trump +0.67%,R
KS,Kansas,6,6,42.64%,54.17%,3.19%,Trump +11.53%,R
KY,Kentucky,8,6,37.81%,59.1%,3.09%,Trump +21.29%,R
LA,Louisiana,8,6,37.39%,59.85%,2.76%,Trump +22.46%,R
ME,Maine,2,1,56.67%,39.91%,3.42%,Biden +16.76%,D
ME_1,Maine 1st District,1,1,61.52%,35.41%,3.07%,Biden +26.11%,D
ME_2,Maine 2nd District,1,3,50.1%,46.45%,3.45%,Biden +3.65%,D
MD,Maryland,10,1,62.08%,34.95%,2.97%,Biden +27.13%,D
MA,Massachusetts,11,1,67.47%,29.17%,3.36%,Biden +38.3%,D
MI,Michigan,16,2,53.57%,43.61%,2.82%,Biden +9.96%,D
MN,Minnesota,10,1,53.89%,43.22%,2.89%,Biden +10.67%,D
MS,Mississippi,6,6,42.82%,54.03%,3.15%,Trump +11.21%,R
MO,Missouri,10,5,45.11%,51.75%,3.14%,Trump +6.64%,R
MT,Montana,3,6,43.22%,53.7%,3.08%,Trump +10.48%,R
NE,Nebraska,2,6,34.19%,62.71%,3.1%,Trump +28.52%,R
NE_1,Nebraska 1st District,1,6,29.06%,67.92%,3.02%,Trump +38.86%,R
NE_2,Nebraska 2nd District,1,2,51.6%,45.43%,2.97%,Biden +6.17%,D
NE_3,Nebraska 3rd District,1,6,20.19%,76.92%,2.89%,Trump +56.73%,R
NV,Nevada,6,2,52.66%,44.52%,2.82%,Biden +8.14%,D
NH,New Hampshire,4,2,53.43%,43.52%,3.05%,Biden +9.91%,D
NJ,New Jersey,14,1,60.98%,35.89%,3.13%,Biden +25.09%,D
NM,New Mexico,5,1,56.3%,40.53%,3.17%,Biden +15.77%,D
NY,New York,29,1,63.94%,33.0%,3.06%,Biden +30.94%,D
NC,North Carolina,15,3,49.65%,47.05%,3.3%,Biden +2.6%,D
ND,North Dakota,3,6,39.11%,57.63%,3.26%,Trump +18.52%,R
OH,Ohio,18,4,47.79%,49.03%,3.18%,Trump +1.24%,R
OK,Oklahoma,7,6,34.49%,62.69%,2.82%,Trump +28.2%,R
OR,Oregon,7,1,63.49%,33.57%,2.94%,Biden +29.92%,D
PA,Pennsylvania,20,2,52.49%,44.71%,2.8%,Biden +7.78%,D
RI,Rhode Island,4,1,60.45%,36.06%,3.49%,Biden +24.39%,D
SC,South Carolina,9,6,43.32%,53.55%,3.13%,Trump +10.23%,R
SD,South Dakota,3,6,36.84%,60.2%,2.96%,Trump +23.36%,R
TN,Tennessee,11,6,41.43%,55.53%,3.04%,Trump +14.1%,R
TX,Texas,38,3,48.59%,48.5%,2.91%,Biden +0.09%,D
UT,Utah,6,5,43.27%,53.19%,3.54%,Trump +9.92%,R
VT,Vermont,3,1,62.45%,34.45%,3.1%,Biden +28.0%,D
VA,Virginia,13,6,42.86%,54.05%,3.09%,Trump +11.19%,R
WA,Washington,12,1,64.46%,32.61%,2.93%,Biden +31.85%,D
WV,West Virginia,5,6,20.07%,76.82%,3.11%,Trump +56.75%,R
WI,Wisconsin,10,2,52.75%,44.11%,3.14%,Biden +8.64%,D
WY,Wyoming,3,6,20.3%,76.52%,3.18%,Trump +56.22%,R
360,178
